id,user_id,trail_id,body,helpfulness,reported,timestamp
1,20,5,Total motivating core,2,,2021-06-01T09:25:01Z
2,22,4,Open-source 4th generation product,3,,2022-04-13T17:33:15Z
3,30,1,Diverse regional application,0,,2021-11-18T05:52:25Z
4,64,3,Multi-tiered full-range data-warehouse,2,,2022-02-28T17:26:25Z
5,33,4,Front-line 24/7 productivity,2,,2021-06-15T20:31:16Z
6,25,1,Managed neutral capacity,0,,2022-03-08T19:05:50Z
7,90,4,Pre-emptive tertiary groupware,0,,2022-01-25T14:08:41Z
8,63,1,Multi-lateral content-based algorithm,0,,2022-02-08T02:14:27Z
9,50,1,Quality-focused fresh-thinking frame,0,,2021-05-16T17:38:06Z
10,78,3,Enhanced local attitude,1,,2022-03-21T07:08:27Z
11,70,5,Re-engineered upward-trending algorithm,2,,2022-02-05T00:49:43Z
12,17,4,User-centric holistic paradigm,1,,2021-12-15T13:31:14Z
13,77,2,Inverse contextually-based solution,0,,2022-03-26T00:47:31Z
14,41,5,Centralized multi-tasking projection,0,,2021-07-10T16:30:18Z
15,70,4,Profound object-oriented internet solution,0,,2021-09-13T14:51:12Z
16,63,4,Robust background leverage,1,,2021-11-28T23:49:30Z
17,64,3,Future-proofed local circuit,2,,2022-01-31T21:51:55Z
18,2,4,Re-contextualized cohesive success,1,,2021-12-07T03:45:59Z
19,77,3,Optional 5th generation array,2,,2021-06-30T08:15:21Z
20,47,4,Persevering logistical forecast,1,,2021-07-04T18:29:58Z
21,86,4,Reactive neutral service-desk,0,,2021-11-17T09:33:29Z
22,72,3,Enterprise-wide leading edge algorithm,0,,2022-04-05T14:03:48Z
23,45,5,Persistent multi-state model,2,,2022-03-24T07:19:47Z
24,51,1,Operative object-oriented parallelism,0,,2021-07-17T22:35:02Z
25,79,2,Grass-roots radical matrix,0,,2021-12-26T17:54:30Z
26,41,4,Configurable human-resource neural-net,0,,2022-03-05T17:58:25Z
27,95,2,Distributed bandwidth-monitored frame,0,,2021-08-23T13:18:53Z
28,80,5,Re-contextualized impactful framework,1,,2022-01-10T03:56:33Z
29,33,4,Virtual static analyzer,3,,2022-05-06T04:29:35Z
30,97,3,Managed multimedia time-frame,3,,2021-06-26T02:04:07Z
31,76,5,Programmable scalable focus group,1,,2022-02-22T13:00:42Z
32,19,2,Visionary high-level emulation,3,,2021-08-15T13:08:40Z
33,57,1,Right-sized context-sensitive projection,0,,2021-09-16T15:01:41Z
34,76,4,Customizable system-worthy methodology,0,,2022-03-07T16:33:30Z
35,77,3,Managed bandwidth-monitored neural-net,0,,2021-06-20T18:07:10Z
36,98,3,Reactive didactic knowledge base,2,,2021-07-10T13:26:32Z
37,23,4,Up-sized bi-directional pricing structure,0,,2022-04-22T02:00:09Z
38,1,4,Adaptive dynamic adapter,3,,2022-01-13T11:25:07Z
39,4,2,Fully-configurable attitude-oriented framework,0,,2022-03-21T06:20:42Z
40,59,3,Ergonomic object-oriented challenge,1,,2022-02-10T20:30:05Z
41,6,5,Streamlined human-resource firmware,0,,2021-09-23T00:16:09Z
42,31,2,Triple-buffered clear-thinking infrastructure,2,,2021-10-27T14:36:44Z
